system:index,area,class,ring,year,.geo
1_1_1_2_2,5379994.005093443,30,4-8km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_3,3.429724180753366E9,40,4-8km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_4,2.0878199318665075E8,50,4-8km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_5,7.982120012104875E7,60,4-8km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_6,0,70,4-8km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_7,6934071.344300514,80,4-8km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_8,108768.16410558364,90,4-8km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_9,0,95,4-8km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_10,0,100,4-8km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0,4.274872477866806E8,10,4-8km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1,2.2602732949046407E7,20,4-8km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_2,4.48799208571356E7,30,4-8km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_3,3.324372231675898E9,40,4-8km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_4,2.2685595977861425E8,50,4-8km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_5,1.0720529959162455E7,60,4-8km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_6,0,70,4-8km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_7,6287735.547042547,80,4-8km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_8,31996.256103515625,90,4-8km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_9,0,95,4-8km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_10,0,100,4-8km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,1.176030944246055E8,10,8-10km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,1.1699180697524127E7,20,8-10km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,5831331.323168463,30,8-10km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,1.6674393643469067E9,40,8-10km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,1.1967245134844999E8,50,8-10km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_5,4.584034221373985E7,60,8-10km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_6,0,70,8-10km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_7,2606029.2464077817,80,8-10km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_8,59307.22192574295,90,8-10km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_9,0,95,8-10km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_10,0,100,8-10km,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1.7203937675136054E8,10,8-10km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,1.8502488846880745E7,20,8-10km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,2.885668256861118E7,30,8-10km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,1.613679574799289E9,40,8-10km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,1.2882420570212357E8,50,8-10km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,6757634.864907896,60,8-10km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,0,70,8-10km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7,2086830.0639696307,80,8-10km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8,4307.2255859375,90,8-10km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9,0,95,8-10km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10,0,100,8-10km,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
