system:index,area,class,ring,state,year,.geo
1_1_1_1_1_1_1_1_2_0,1.2551498532732077E7,0,2-4km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_1,2.5166848628790304E8,1,2-4km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2,509612.8221947763,2,2-4km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_3,741489.4073778337,3,2-4km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_4,4.2364068419890623E9,4,2-4km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_5,7245958.678921567,5,2-4km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_6,4.6891784988553363E8,6,2-4km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_7,2367740.502524701,7,2-4km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_8,0,8,2-4km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_0,1.459021718164541E7,0,2-4km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_1,2.8914380758243906E8,1,2-4km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_2,657134.3749262792,2,2-4km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_3,551514.9131692325,3,2-4km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_4,4.1182644726388073E9,4,2-4km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_5,7637298.030338543,5,2-4km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_6,5.368644521626571E8,6,2-4km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_7,1.2696310879492186E7,7,2-4km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_8,4270.3427734375,8,2-4km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0,1.9173651330617152E7,0,4-8km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1,4.2008874516642606E8,1,4-8km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_2,452561.65954350494,2,4-8km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3,119128.59149720435,3,4-8km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4,7.294314132450964E9,4,4-8km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5,1.7615064528550096E7,5,4-8km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6,8.86175262059103E8,6,4-8km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7,1.4615549436408743E8,7,4-8km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8,0,8,4-8km,Punjab,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_0,1.9284986785583265E7,0,4-8km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_1,3.996237194892835E8,1,4-8km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_2,826521.3455212163,2,4-8km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_3,125035.1502221201,3,4-8km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_4,7.408521075164084E9,4,4-8km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_5,2.1889237828169044E7,5,4-8km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_6,9.276660532616773E8,6,4-8km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_7,6157411.126246553,7,4-8km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_8,0,8,4-8km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0,1.9525215848257508E7,0,4-8km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_1,4.6043892740257317E8,1,4-8km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_2,1300902.6740722656,2,4-8km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_3,45717.81212086397,3,4-8km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_4,7.215881132917601E9,4,4-8km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
