system:index,area,class,ring,state,year,.geo
2_1_1_2_6,1.043026725807627E8,6,8-10km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_7,5.565510736857382E7,7,8-10km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_2_8,1.0493748327922983E7,8,8-10km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_0,6386855.021018115,0,8-10km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_1,2.462611712009815E9,1,8-10km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_2,3.904250719131529E7,2,8-10km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_3,147181.33129882812,3,8-10km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_4,2.2738248356639272E8,4,8-10km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_5,4.176322882233878E8,5,8-10km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_6,1.2598747961557332E8,6,8-10km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_7,4.101584485930798E7,7,8-10km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_8,1.312888564659065E7,8,8-10km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_0,1.0274203806738278E7,0,8-10km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1,2.5539308878230247E9,1,8-10km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_2,3.3327158332067627E7,2,8-10km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_3,134319.2308995864,3,8-10km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_4,2.182636754967122E8,4,8-10km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_5,4.037674943359337E8,5,8-10km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_6,1.4691615134594256E8,6,8-10km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_7,7.764150833756988E7,7,8-10km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_8,1.7974224410791017E7,8,8-10km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
